champion_id,name,winrate
62,Wukong,0.5468
37,Sona,0.5460
30,Karthus,0.5455
40,Janna,0.5419
432,Bard,0.5415
38,Kassadin,0.5346
91,Talon,0.5338
163,Taliyah,0.5300
105,Fizz,0.5295
44,Taric,0.5290
80,Pantheon,0.5285
60,Elise,0.5282
19,Warwick,0.5276
117,Lulu,0.5274
83,Yorick,0.5248
246,Qiyana,0.5233
57,Maokai,0.5229
421,Rek'Sai,0.5213
115,Ziggs,0.5212
223,"Tahm Kench",0.5197
56,Nocturne,0.5196
48,Trundle,0.5194
254,Vi,0.5188
15,Sivir,0.5182
497,Rakan,0.5178
106,Volibear,0.5176
55,Katarina,0.5175
78,Poppy,0.5172
24,Jax,0.5166
164,Camille,0.5160
21,"Miss Fortune",0.5139
429,Kalista,0.5137
222,Jinx,0.5133
22,Ashe,0.5131
110,Varus,0.5120
69,Cassiopeia,0.5119
103,Ahri,0.5114
4,"Twisted Fate",0.5109
112,Viktor,0.5104
89,Leona,0.5102
142,Zoe,0.5099
96,Kog'Maw,0.5097
76,Nidalee,0.5091
126,Jayce,0.5088
875,Sett,0.5088
203,Kindred,0.5077
122,Darius,0.5076
267,Nami,0.5073
86,Garen,0.5066
12,Alistar,0.5066
27,Singed,0.5064
235,Senna,0.5064
72,Skarner,0.5055
74,Heimerdinger,0.5052
133,Quinn,0.5050
420,Illaoi,0.5050
523,Aphelios,0.5042
28,Evelynn,0.5041
114,Fiora,0.5040
2,Olaf,0.5039
104,Graves,0.5038
85,Kennen,0.5034
412,Thresh,0.5033
143,Zyra,0.5032
8,Vladimir,0.5030
240,Kled,0.5029
245,Ekko,0.5025
23,Tryndamere,0.5023
35,Shaco,0.5020
127,Lissandra,0.5015
10,Kayle,0.5014
120,Hecarim,0.5013
26,Zilean,0.5012
67,Vayne,0.5010
58,Renekton,0.5006
202,Jhin,0.5004
29,Twitch,0.5002
9,Fiddlesticks,0.4991
161,Vel'Koz,0.4984
516,Ornn,0.4979
6,Urgot,0.4978
43,Karma,0.4971
41,Gangplank,0.4970
131,Diana,0.4969
90,Malzahar,0.4957
54,Malphite,0.4952
98,Shen,0.4951
92,Riven,0.4949
134,Syndra,0.4945
51,Caitlyn,0.4942
119,Draven,0.4942
136,"Aurelion Sol",0.4940
111,Nautilus,0.4938
518,Neeko,0.4933
81,Ezreal,0.4932
53,Blitzcrank,0.4930
64,"Lee Sin",0.4925
266,Aatrox,0.4924
16,Soraka,0.4919
238,Zed,0.4916
18,Tristana,0.4912
99,Lux,0.4908
268,Azir,0.4901
45,Veigar,0.4893
121,Kha'Zix,0.4890
154,Zac,0.4889
17,Teemo,0.4888
63,Brand,0.4877
427,Ivern,0.4870
555,Pyke,0.4869
102,Shyvana,0.4862
236,Lucian,0.4860
50,Swain,0.4859
7,LeBlanc,0.4847
32,Amumu,0.4843
201,Braum,0.4839
36,"Dr. Mundo",0.4836
498,Xayah,0.4835
157,Yasuo,0.4834
79,Gragas,0.4819
82,Mordekaiser,0.4816
107,Rengar,0.4816
61,Orianna,0.4806
517,Sylas,0.4806
14,Sion,0.4791
25,Morgana,0.4788
33,Rammus,0.4786
31,Cho'Gath,0.4785
34,Anivia,0.4770
145,Kai'Sa,0.4753
68,Rumble,0.4749
141,Kayn,0.4747
150,Gnar,0.4746
77,Udyr,0.4746
59,"Jarvan IV",0.4745
101,Xerath,0.4743
1,Annie,0.4743
13,Ryze,0.4733
3,Galio,0.4711
5,"Xin Zhao",0.4703
84,Akali,0.4682
11,"Master Yi",0.4654
39,Irelia,0.4623
113,Sejuani,0.4571
350,Yuumi,0.4540
20,"Nunu & Willump",0.4489
75,Nasus,0.4455
42,Corki,0.4421
