accountid,summonername,championsplayed,championpoollabel
__-egk74GrjrETlFXZJefFisd2Xf6Wmo7_kK3DkL9k9KZQU,Greenday,1,"champion spoon"
__0iqdWzfukcjGjn_NHUFFbrID3W_E7RrYIUIYw3x5Upce9PI-qbEQT4,너를비웃다,1,"champion spoon"
__0tXdLo3SjdiHjakeJgStZm5B2MA7DnYd1Pl2dpJwpB,"발모크 올리기",1,"champion spoon"
__2zviIiwj5RtscFeBabzqDM6CWDwe3cGxa2tTrF1ytP,싱숭생슝,1,"champion spoon"
__7tvbAQPrA9MS_T8N9xGfRRyW9HJj3DU5SphuHJteTD,지상님,1,"champion spoon"
__9Eq1mXZ-YeynGvaPbm8cOuY6NTAB-626kmBqpQSRPyFDKqOlCi-Z-1,"52지는 52시",1,"champion spoon"
__a24yHOclwsjWL448BK4J7neYHe7JC53WWsZKvZIPah,지수김,1,"champion spoon"
__A4FdTlrqfEec1AFVSFH9Ain-d_LoK6nK6viyofks43A3dTsbN0oCqF,12ating,1,"champion spoon"
__af-MhMbO4R_cgGDSxE2lDMGJxaDNmMGp3iejyHyqrE,빅픽쳐전문가,1,"champion spoon"
__ARaGdFPHpmQ5fUvKnfB1uKZcNyxFPTQMsUV94IkYyb,스페셜봇,1,"champion spoon"
__bMUS4dG_75vEgxWE3cmVdZNKeJgBkAM7mCGloN8q3F,이지서포트,1,"champion spoon"
__bsN_EXILrlRnn9mrZnTy6ECkPtDbqgOuueF-ufEbUP,뚜렛킹,1,"champion spoon"
__cUr0v_zOWNx3EvZNJ6NxrI71FRoFIO3pn-zjCgU7_b,"개가 돼요",1,"champion spoon"
__dd0gEJpKHyG9Z2eOLCNob7qJeHA0Ccg0kwwDZ9R5iF,밥먹고올게여,2,"champion spoon"
__DoJQtkhS1hCS3NBcrrPFJroBxYVAgUa5qu0COH2SLH51I,니달리주면캐리해,1,"champion spoon"
__EdWvU7vmK9f60ykQUQ55YtjyPFsRl1_Ral3Z_6mi85,용꼬리뱀꼬리,1,"champion spoon"
__eKQSqDBOJMFLmgWdVELvw2lqZZqQUGJxE4m1879ivT,"주 명성",1,"champion spoon"
__g8v9f5LaxpZ-DmRE97u31Vqy73ggzK-vFwNAgqg3v_,안개덩어리,2,"champion spoon"
__Ghh5Bn3c2UJrg_yFPySxEhsKVZ9B5YWH5gb-gcQL7K,이름바꾸지말자,7,"champion pool"
__igei0OPr87Fy-kITwYkqs7vaVocK6TvcqyEW9JVK26,로제니아,4,"champion spoon"
__iJqqkJ8Pk80qVQVK6i6L94pDteJ4t3EfWDbPClOKvR,키르쇼프,1,"champion spoon"
__iKQC4ZCJWCHOwhhwofdy5n5iaOIIYIGlSs31OmLJ0o,Czzzzz,17,"champion pool"
__It-rvO4qNzd8X3mHPyiQLVEUWPyHrI5t06Tz0numT-Pzc,코악물쥐,1,"champion spoon"
__ItSD7wINUMoV8AzvqQbDsJJXZhzxKhuDXYQq0bbqvMNSk,아이스티1500원,1,"champion spoon"
__J_vkjxTR1Bcuj0W1i-2IiK5I4lN3EPfJ3wumS5NSiklwY,"유 슬 하",1,"champion spoon"
__jjqCM91_MA7nA-MWUM_h5v54aEyYLaFqHKZ4OJ9mZr,진우짱짱,1,"champion spoon"
__JL27Iz8Xu94kjtGut4am-CiRBjTqhvZTaaq70ZtuAG,족구튼게농구있네,2,"champion spoon"
__JYpLPXb6nKjyhcaxnAlCXt_XSQpFzQhd0s7kbHY7YaYnCx9bS7eozZ,"wOw 94",1,"champion spoon"
__Koq-YlYyRu6rBS7zFJ4vbPorADugt-GPquh5g2KgU,훠궈박,1,"champion spoon"
__M0wUoh14dXsmFxdaLebRntF9QblATwRqIiQKGZ1d2GH1g,"늘 그렇게 웃어줘",1,"champion spoon"
__mgvGtv9TS9Eq5_w38DeKG6TbNbkW-zGyvBHfLVnAMSZIs,스턱스넷,1,"champion spoon"
__MwRUHBALaHmToF1CAFv3mLaEiSHnJFM4ANJVdZxBc,NANAN,1,"champion spoon"
__N-r1UTBXgFeKSGBGMJQXSFhEA5CbMTQ7fzDMe9bet8,항상맑음,1,"champion spoon"
__nFxdgMKgy-iqbhBto1oJlzxAFFkfnSqyUoylFx5Cq-8t0,"Eat It ",1,"champion spoon"
__NgLqZclkJvKiAi4In2_2R7WPSmqA68eXkIesfotP7bO-U,뿌엄뿌엄,1,"champion spoon"
__oeyaVxtELTEgcZy4qvzIKMgRdn1IpmEuzrFX5vHcxNsdw,spdas,1,"champion spoon"
__rOk8ZdxR00jwd-PB-R94KUe4oUf5kGhxinQD2fankP2KceQ_tayoMI,까까안먹는채성,1,"champion spoon"
__SYJiz317-lAvIR-JAohhQx8gicVs1w9dzxc0ibw6KB4Bf6mwJxtd_f,lIIIlIIIIllIll,33,"champion sea"
__tVhHF_yNahDu6sjhTDNQSIhpRH1NxYbFs2-wRmZMnR,샤론님,1,"champion spoon"
__uJDoliGg-3BNEMWFvWVJZrbs8vU3LIJNqpmvkGyXC2Xo0,"다음 도발은 너야",1,"champion spoon"
__uRoOE-JcP3BOkubhW_IK7zG4iCNzf7y76Rkx9OYRcvqgg,월드해비급챔피언,2,"champion spoon"
__VFVg_ShgpbABfZxC0IBhsOJJ6h2fHRNLjH7C5ajRvTVqk,어림없는똥,1,"champion spoon"
__vhZFh_oyLP06l6HvwiR9Zhn7ZXVgeXqyx-28wOC-Tn,ShowNow,1,"champion spoon"
__Vn2-vqE1cgmnYpzcsGNvnVqo7ryenLHHf9Wg5lBotspRE,"SKT T1 준K",1,"champion spoon"
__VouLshejDqJZjH7h8GZdTpsySFCtRhrJsX_5H2KOGBjeE,뇨리킹조리킹,1,"champion spoon"
__W8zm6YHL4hJM2tnSMf5_YuYuMqaOSHcgabKJTGhi7K2VY,"응 대",1,"champion spoon"
__WAk3-4r7GxLA0ix_HL0VUSP88gj8cVX0SbxyUGG2U9,고터람보르기니,1,"champion spoon"
__wKGo0pXpnn-gH8GDvGhtP-HGnyPdNEYurtM6XPpmNC,CLODEKA,1,"champion spoon"
__wQCWikvrEDBCPfdcq8VdgEBBprn14LMkcqsCVNaOiz,Grrrr칵칵,3,"champion spoon"
__wy4nEGMTb60-qf4IER1J1HDQEVkhvPtlXOO4lO1g8k,수호자아리봇,2,"champion spoon"
__x4b3y8FlHeGntCZ9VBwOE4izkiZuGAK4jZEjqr2Jn2,성섹관계토대왕,1,"champion spoon"
__XaDra3fijwmgusU44lYua_9d4TT6LMeDy9nG5w5RbChMM,이돼지들아,1,"champion spoon"
_-0MMmufksdQkDbvnMFBzWg1GtvAEkHi517KJ384yEwY,칼부0랄나락,2,"champion spoon"
_-1faxEg7t7ycFkzPsfChNsXi2VvV-iT5rAi0RcVEj8TrLE,"날뜩한 총",1,"champion spoon"
_-1kIctYTh15wN-mnDoDXhR2m6EVWnDgboUeQkuk0JAf,"고 태 진",1,"champion spoon"
_-1oATabHdOZ9FoVovYoiHRdGTe0V5STzGwQ3tFoWULJ,"개미 17마리",1,"champion spoon"
_-2JCg2fkEsxhNgD3Zw3ptMVchzTxlxmdumtKqbfn5KWyTo,즐라탄탄추고,1,"champion spoon"
_-3EpRLRDQnGvKgp3igfrIFLw30bC15ZMOF-n57UfgWQHjLRWjJHF_2-,SUEL,1,"champion spoon"
_-3rklAtKAeFSph-G0zgYKuHNz7DsJEN9kNug4HQWc6t,단비는서폿할래,2,"champion spoon"
_-49disqfNBgYeTXK9TL_Hk4bLorswCkD3ypDP2CdI3iGN4,"코그모 미아",1,"champion spoon"
_-4sl5HU_fmcuzzI22klK0mVj_GaP7Sx9vxC6451C0M3A9c_vfu57yje,"저는 달려요",1,"champion spoon"
_-5rFjFrcHRloiO3MOQaeNO3E1i8YbMLdsuzqmkVDpW6Fg4,Poky,3,"champion spoon"
_-6dJ9ukkudp7EseVxdMcbBI5RK1s96uo0XZj9butDv2,GODMlD,3,"champion spoon"
_-6TAopb3sX8wrw0RynWLqHbNmfsqsX-4ONxhjoGNACYN5M,그냥다패는계정,1,"champion spoon"
_-75_6yx8IvyTMrsXt5x-UOGejlAyTsm2ozY3EsO3gS_,"오 꾸rrrrrrr",1,"champion spoon"
_-7Bp4z5SdV2STQcHiCzenokXWxGSxYqjHbqmiy_A1AGyGk,"아이엠 타이론",14,"champion pool"
_-7ye8u860eHnbDd3RgFaQTrs1eG_EEossAUMP2TPbJ6,단방에주님곁으로,1,"champion spoon"
_-AYuSKYNwJS0CrPsfmX8r2t7Z7ccQgLD94ob84r79tel3M,"Fnatic Rengar",1,"champion spoon"
_-BmvhUptPRJFnj3gTmAxFBd-S5rBz2eLvnEKBnASj8b,1등남편감전승환,1,"champion spoon"
_-C2suLH9C8kXpNwJINVmrZnS3XUu_Z8jSzZcODaBoQXvrwd5r6-uyPO,"원딜 갭",1,"champion spoon"
_-cCc04XOWz0JoMfKP9_wfFveWGJ5VhHP4kThj4GMMZtuOccYc6XsxHz,"혜지는 정글가욧",1,"champion spoon"
_-czKqAWEu8hotRyG8Sgq8x-TMI7OYAFQY653IcBhFdVpye4ZoFZ1UZo,"Trevor Daniel",1,"champion spoon"
_-dAUZl9ir88l1bxnAaYRwnXJBbPDv8uixUOCUxv7VvD1zc,전국낙지협회,1,"champion spoon"
_-EgpaESMFyi1ldrm9nZXQTR0SsX-ebEB1SCgqk5yqaA,개비린내,1,"champion spoon"
_-FM6IzQgngElBfoTIe0cDBnSruyUYWNlErhOFAH8KzB-IQ,"나 프레이다 ",1,"champion spoon"
_-fO73HFD2fVKg7MkCzxPVkR6jFvYl6iHh2VOecZayTMhk0,예찬론,1,"champion spoon"
_-Ftt2FAHt15RpMCSBIzQ8l_1ubPs9hUUUICGy79kBEODfg,psok02,1,"champion spoon"
_-GyvL9u3U-bXRlO5Atnak7UiHSrtpwWFCr5JVcwnu4-W74,Mmelon,1,"champion spoon"
_-hiV99lAtADddvrXgTEOqIRIZbR4fPO9cbIVyHsnU7-,Sm3K,3,"champion spoon"
_-HjdDond-AaTD4rHbRhsJ1Y1nSFUEW-5IFsBga4Q3ueYSjp6FlQUfXn,"CL RED",2,"champion spoon"
_-IegLh5_jEAzCMRGCEqizZ59RUtUyseJjcBw2vYeOOvOrI,"비 버 색",1,"champion spoon"
_-IH4-DQVEwScyIm9OyTMMYvP5hmChs0ySBooSxUQevK_g_oyIEEC_uJ,"only sama",4,"champion spoon"
_-jzVHVK7Wjuy5Lo-Pwd8CYPHEosLtxcXRJilYYxU1v1veI,"aL RD",1,"champion spoon"
_-KUJfaGpgltkkjHN5bldaPQs5fjAmMGxmByYiTsMIBh,"거 아갈빡좀 닫자",1,"champion spoon"
_-La6HhVIK0QuNrH2D6ldkiRUcWHaIeGVJJFqzAvcRGB8Lp1YwJRgc2y,"Afuro Terumi",4,"champion spoon"
_-Ldf8yxEdHM4QEJwiyIkCTsd_WaFS461lxLwd-l72dy,Parallelife,1,"champion spoon"
_-LkmLbVkHEtPLUHoeF86qsoSL2UoDHmL5Cz8-_iTwj_,스히에,1,"champion spoon"
_-nh5g6ssPmLKrLWBWLezRgPSDL4sbehtXWWQQ5PbwG4H4g,사이코패스암살자,1,"champion spoon"
_-nm-FLe_kgfFpPwrw6eHe61-CSS0F8yp-bxzyL-bvrq5QQ,qwepfoiqhsdjg,4,"champion spoon"
_-OHUPoGviwmGALzzCKhT2SQqyqWSLCugMaIIEWqeUs,캐리담당,2,"champion spoon"
_-OoQFcYKTv9ZuikAF_vmaLohP77GpmQiRcw02b8UVlN23mNrUDtILGV,폭주한바나나,1,"champion spoon"
_-q3S5qlniDVIm5pnv094YgblQHvuXUSRgS7s_wAeWTuTR0,농사짓는티모,1,"champion spoon"
_-QaG6oM0GWPwmWG4TyQm0cG4VlgKMg6oqJDS5wwJJjK,섶자리다리밑,1,"champion spoon"
_-QgMq3LcnkBt60rI_w1HnbE9KOHy7Oh4FjC6QATYB3SSWE,Azuredays,2,"champion spoon"
_-RMJoZZKT9WNWhG8kCv7P0zKB9GrIpsUwMXNjjGbjMp2PGICdmtQesR,"봉골페 러스타",2,"champion spoon"
_-sbU6c-8pgJK6q2dDz0dGEYzJIrhyX37ugOYp-R-NFK,"마피아 잔나",2,"champion spoon"
_-T9ONJZJKWfC_R2L_9cu0e1c6OkaAXFUqwSM-3ZalqXglQ,앵두잎,2,"champion spoon"
_-tOYeZYQYI1fVeLm8nmJWXiUXPZ8vfHmhtFGjBfCpgi,바위게못간다니깐,1,"champion spoon"
_-UwojmkneptSrss73lGT1PhXcLzL5bgq8qwkq-Vtug,Bourbon,1,"champion spoon"
_-v56NLsEHqtrqAdOBWAEsgmZYw91ZCqZi2AmGSyVn9yzKNc8CqF0fWN,boxtxer,1,"champion spoon"
