accountid,summonername,championpoollabel,win_rate
XdtdxYM-Z3a1SFQK3LTdcUmVbk6Dn_irh2WavLQVqo_4L6Y13ZEQ_wOb,Saniah,"champion pool",0.9524
WLRxnVzfBKMbJnoR6rEoh6QeNYbOooBkAVazZMHgsR44q4s,"너랑 있으면","champion pool",0.9286
1_yd9Q5plOTANm3refbm3fk8mXbfyV5B7Db2piS8S3PpL0c,"코닉세그 호랑이","champion pool",0.9286
bJ6Qzkn52_tp3bH7qtS-sWAGrti1MS2yaUhA64J8shsJhsOjXYzEKhkM,lIIlo0oWVWWlIl0o,"champion pool",0.9231
XcX5Z8gO2WHiv97v2m4HpBYFz0TzexxleqniX6Nz_mUTCnQ,Hiru0716,"champion pool",0.9167
hE1MXkbludheJ3NMO-uWzUdOoGfFlDYftxifglVDaTaT064,"DRX Yella D","champion pool",0.9167
aFwRikxSaawSU8cjyfVJqLm9kNyj-6q_NHrRPT0OMuIQMSM,Des희비,"champion pool",0.9091
4zq7GqqiUU-uZIehwWm6vPLNlhQhNt718B1kWNXE6Q30Z2k,jtfg,"champion pool",0.9091
NdxoyqBaFKosfo6-RA-7ufLhNO6pG9L5iz9Lw-urFXLo2Ww,"어 프","champion pool",0.9091
MGMixJpugbpe_a8uZzUOo5z7Q353YBvTIvabjSPsPlJ6PebqkIA8-Ygs,"남극 탐험가 ","champion pool",0.9091
KsJ3pQf49vysoWIZBmKQue78ai-JJQhXGXU5u5tAnIVR,Zenkie,"champion pool",0.9091
JCEqdSAsaR0eLeezjcfQ6P8AifLSzhau3gcl46ZXYKyIyBQ,잿빛녹차,"champion pool",0.9000
Eaqs5FLPy-UnqE8EdSc5qa_mOOwPQcfTpoOONPa9V8uxM8k,음악은역시지니,"champion pool",0.9000
9A65rC2UsuvxO5xzUJSAHzNkHu0NXeWUiczAZuYyHWkMVlE,그리스신전테러범,"champion pool",0.9000
UmWxoZfYqtjaJF0ifmMMpB67cr-xgkeWh8nK7pFqf5XZ6MA,데프마트타,"champion pool",0.9000
sDJXGBW8kQ6-29Me5RsPA6f-LWABdb3bS0KKf_FvU9jl,"RsF pl9","champion pool",0.9000
naH_tj0UGSLEQ_qq46mBmuQYfzAMeJ4H02iqXWHbqJ2mKtE,RYUJIMIN,"champion pool",0.9000
2ksoXWJDENoOhuZ-RU3L9qXks-0_DYceZ9UdnZp5MEMNnuE,골드엑스트라,"champion pool",0.9000
-BnSOykLDILXuWaakjwVi3dUBUNBPeVJOPLJsLFB_KA3NGo,빈첸의하이텐션,"champion pool",0.8974
8mmnfdXJs4LPSrcUiKWKAEm3CTn-HzL-8e4QyCbCzlWVFig,왕루미,"champion pool",0.8889
G24u2hzFJkHli1BcN_RGJGsp7r1bWGHdWZE479bb6RcQ,"각 동리","champion sea",0.8710
DGXBzaH99aC0SNM8GCUxxHt92RVpUyAWrhCIo1OabKoh,"SKT T1 이동리","champion sea",0.8667
z3NPMM2rjBh-kpko8v8Eypbp5p6Exh9cokSDa-A1erXu,M1nion,"champion sea",0.8214
4X-EIvgMe7sfsDfkPIxYx1gUaOQ1zc83PdUTolNZaLYutYVrYjjA78vE,"아가ri좀 여물어","champion sea",0.7941
H3o7wVXJao5RF2L1XrLLKMMQAxNKUtXuhFVe7fCXxbrI3EU,"카 눈","champion sea",0.7917
SrWdfk_enNT9YJT9kxD2GDf9u8hgGeUNoinQDINP4JcM,"U 4","champion sea",0.7818
znZ50gu81-ZmnGjNUvbWmXIJlaBGAtJLPiMqfN9epQTC,깡패온,"champion sea",0.7647
Hl41qLUDtms0wjExozZby-rnxHw4LzCO1oCJRP3FAJsm,어림없찌,"champion sea",0.7619
L-ux3ggIMyVruwNI687I7uQqmjYIP-BKQ9pVjngfNNrAF6k,"숭 이","champion sea",0.7600
LeL4hmjE_Fkn6Ww2BKPXwG5TTcPY7AMrRLfAi0kQgrHHnT5dfQMynZ_g,gtqeti261,"champion sea",0.7561
z9LuHCzFoU8gGJS8rM-OcfrQ5q5eBqpj2oNTdFAouKdAed0,용호냐,"champion sea",0.7445
WRzdDinnYlgTSJdQTmBqEnJ7F7ISL3spZaRA3QoFU-DsIJiGMi-J76rR,엄마찾아드립니다,"champion sea",0.7217
0gT4KyvKwu82wTdoKU74YFPqpQQV90k_p7Mz3CfgImf1,피요몬,"champion sea",0.7188
gVjdud-i3FKJ262O-jAtyn96wnKgDudCm7T1ZbN_ecEy,MIDGO,"champion sea",0.7143
S3EkDXLZGqA5Vpt96CJJa1qI-iOskRwVlq8LQdFc9k6rwxm0KqkiT1V8,AlphaGoTest004,"champion sea",0.7100
g2pECkEFKrRVY72yxh0b1-Umh5SY15OD76lDZJXwA-xZOhQtXEpfTfuw,qweq11q,"champion sea",0.7059
kPBrl01IB7e8lhljIkYrLIt4Cmn3RM_S-FAEOM0tTQ1G,아리가뚜,"champion sea",0.7043
HTF4YkbUtGjiZQ46QYVO7R6rt9nVeaC9ydf23PKIVGHw,조인권,"champion sea",0.7037
gvCIb-IWhnY9U3INXwieK1rYTD-PM1cssCpYX9U6l4yhj3UprjhNLcUh,"53머 4826","champion sea",0.7021
QoaKQ05WeeyxuJYqFnb_H1ltgtQfMYCGB4kAmtOfhqtTByy4h8bx9_wG,"M1 Xintai Game ","champion sea",0.6979
H_F6dgw-rZPWoqUswfddOxg9h-G9Qi_bqyy6f6ScXz4osrY,존버억,"champion spoon",0.9231
38MLSD0or9EMIIIMHAlfZyqmEUC2P4GGVpbSQ_i0VACHEi8,연꽃물,"champion spoon",0.9091
oujMBKLWXidtL1_9CYnbq5fQx8rPxSgag5yIiJ-UnBcBlb1RG00GE91C,"힐스테이트 주민","champion spoon",0.9091
Nn6wKqiqjHP-kj8d-i2IxG5bz_rMCwSAtaOTzFLlM4f0PSpJdDdfJvSO,아무것도없는아이,"champion spoon",0.9091
a1ANLODACBW27GhaLmdmDagZ2aurwLYhHuICJghcWXx2Z7GqI-UdGsR8,"유튜브 고양이 휴","champion spoon",0.9091
HADUw1MLQzvEPRQsv8gK6OUryTPkPYTNj0bZL0-HcZfr5NA,롤창인생ing,"champion spoon",0.9000
