summonername,games_lost,loss_rate_percentage
Skill9,20,9.85
dasczxvcxbfvfdv,20,8.13
민트초코카레,18,26.09
울라프뿌삐워웍,18,9.23
무루루,17,12.88
"2001 11 30",17,7.83
"구인수 케일",16,15.53
내일바다로가야지,16,9.14
튀자튀자아,16,7.66
"SPG Hena",16,6.15
"Gen G JeongT",15,17.05
"상남자 곽한구",15,14.42
부캐양학전용아디,15,11.03
"몽키  D 짱구",15,9.09
X2LANX2LANX2LAN,15,8.07
"BroCColi 1999",15,7.61
"얼음 악동",15,7.54
젠지탑,15,6.67
03190319,15,6.67
Neahyun,15,6.67
Raybcd,15,6.49
"ANG TV",15,6.25
"nu li xing yun",15,6.07
몽망1,15,6.07
apnaistdo,15,5.32
iite,14,15.73
"Cream Ristto",14,9.27
"Nice Mid zz",14,8.00
Iixian,14,6.39
Kuraidesu,14,6.34
ppqqq,14,5.56
"죽이지 마라1",14,5.22
"For mine",14,4.75
"Zhang Yi Lan 1",13,24.07
저격저격저격,13,18.31
여니여니의샌드백,13,15.12
"17살 괴물쥐",13,14.13
"chaos Wo2rld",13,6.60
"i am sb",13,6.53
MidMantou,13,6.25
karmaphobia,13,5.18
"모순 된 존재",13,5.00
S4b0,13,4.42
먹는게즐거워,13,4.17
gtqeti250,13,4.17
벨코즈못하는사람,12,16.67
"Lv 25 버블링",12,13.79
사스갓지지,12,13.04
"9th ConQueror",12,12.90
pi9,12,10.17
galbimando,12,9.68
"JM Dududualan",12,9.38
"S2 Doinb",12,9.23
gtqeti264,12,8.70
fantasy44,12,8.33
병기형이다z,12,7.84
JGKKKK,12,7.74
"레 탈",12,6.78
"ONE OFF ALL",12,6.59
원딜최강쌈디왔다,12,6.56
뀨웅길이에오,12,6.52
1dang0ya0dang8,12,6.42
"마음이 예쁜 사람",12,6.35
나같은사람말이야,12,6.25
"프로 유망주 계정",12,6.22
살찔거야,12,6.12
할바시와친구들,12,6.12
feiniufei,12,5.97
"di di lan",12,5.94
"m1 funny game",12,5.88
인생걸고태호시티,12,5.83
"T1 test 2",12,5.74
sooooopo,12,5.63
kfo,12,5.58
나는못하는원딜,12,5.38
"Gen G 정재",12,5.26
Rng2019LST,12,5.04
오이517,12,4.72
절실하지않는사람,12,4.69
밀레니엄베이비,12,4.63
df2,12,4.43
"wan ni ma ma ",12,3.95
"빠 삭",11,25.00
HARUNABC,11,16.42
"꿈의 남자",11,14.10
"sibasaki roka",11,13.92
강철똥꼬털321,11,11.70
burle,11,11.46
에구구구,11,10.68
116655,11,10.48
미니언놓치지말자,11,10.19
hhjy,11,10.19
챌까지핑안봄,11,9.82
뽀봉박,11,9.65
DUODUODUO,11,9.48
"Have A Nice Day3",11,8.33
구슬네발부전나비,11,7.86
blingb1ing,11,7.29
"SKT T1 Haru",11,7.01
"이 차가 식기전에",11,7.01
zxzxzxzxxzzx,11,6.96
fanshu,11,6.51
Emila9,11,6.47
X1LANX1LANX1LAN,11,6.43
"MSC honey",11,6.40
aszsdwy,11,6.22
망당다,11,6.15
"APK HaeSeong",11,5.58
"Iuck game",11,5.58
"단것을 먹지 않다",11,5.34
"pai wei tu yi le",11,5.29
dsfaklsfaerds,11,5.21
xxilas,11,4.96
burrningg,11,4.83
M0oNING,11,4.80
LoLmove,11,4.78
21313232312231,11,4.47
개무리안하는사람,11,4.42
"Lv 23 버블링",10,21.28
아이폰100,10,20.00
Rucly,10,18.52
홍콩보내는변강쇠,10,16.95
"내가사랑혜 선",10,16.39
화정동미어캣,10,15.15
"RVS Shark",10,14.93
"APK er5su",10,14.29
"프 잔나",10,13.70
"UNFAIR PLAYER",10,12.35
