lane,win_rate,champion_name,games_played
BOTTOM,49.85,Ezreal,19321
BOTTOM,49.85,"Miss Fortune",18535
BOTTOM,49.85,Thresh,16132
BOTTOM,49.85,Aphelios,13324
BOTTOM,49.85,Kai'Sa,13072
JUNGLE,50.23,"Lee Sin",24926
JUNGLE,50.23,Elise,12791
JUNGLE,50.23,Rek'Sai,10930
JUNGLE,50.23,Ekko,9863
JUNGLE,50.23,Nidalee,8235
MIDDLE,50.16,Zoe,8155
MIDDLE,50.16,LeBlanc,6577
MIDDLE,50.16,Sylas,6284
MIDDLE,50.16,Qiyana,6124
MIDDLE,50.16,Pantheon,5834
NONE,50.21,"Lee Sin",10022
NONE,50.21,Ezreal,8637
NONE,50.21,"Miss Fortune",8098
NONE,50.21,Lucian,7097
NONE,50.21,Thresh,6832
TOP,49.90,Sett,8577
TOP,49.90,Aatrox,7966
TOP,49.90,Renekton,7070
TOP,49.90,Irelia,5969
TOP,49.90,Ornn,5496
