item_id,name,upper_item,explain,buy_price,sell_price,tag
1001,Boots of Speed,"['3006', '3047', '3020', '3158', '3111', '3117', '3009']",Slightly increases Movement Speed,300,210,Boots
1004,Faerie Charm,"['3028', '3070', '3073', '3114']",Slightly increases Mana Regen,125,88,ManaRegen
1006,Rejuvenation Bead,"['3077', '3801', '3194']",Slightly increases Health Regen,150,105,HealthRegen
1011,Giant's Belt,"['3083', '3084', '3022', '3143', '3742']",Greatly increases Health,600,700,Health
1018,Cloak of Agility,"['3086', '3095', '3031', '3508']",Increases critical strike chance,800,560,CriticalStrike
1026,Blasting Wand,"['3135', '3029', '3151', '3027', '3100', '3102', '3116', '3165', '3285']",Moderately increases Ability Power,850,595,SpellDamage
1027,Sapphire Crystal,"['3057', '3070', '3010', '3024', '3073', '1402', '1414', '3802']",Increases Mana,350,245,Mana
1028,Ruby Crystal,"['1011', '3075', '3211', '3136', '3068', '3010', '3801', '3044', '3052', '3053', '3067', '3814', '3116', '3748', '3751', '3916']",Increases Health,400,280,Health
1029,Cloth Armor,"['3047', '1031', '3191', '3024', '3082', '3076', '3105']",Slightly increases Armor,300,210,Armor
1031,Chain Vest,"['3068', '3109', '3026', '3193', '3742']",Greatly increases Armor,500,560,Armor
1033,Null-Magic Mantle,"['3111', '3211', '1057', '3028', '3140', '3155', '3105', '3190', '3102', '3194']",Slightly increases Magic Resist,450,315,SpellBlock
1036,Long Sword,"['3077', '3123', '1053', '3155', '3134', '3179', '3035', '3044', '3052', '3072', '3133', '3144', '3161']",Slightly increases Attack Damage,350,245,Damage
1037,Pickaxe,"['3124', '3004', '3008', '3031', '3036', '3053', '3074', '3814', '3139']",Moderately increases Attack Damage,875,613,Damage
1038,B. F. Sword,"['3095', '3026', '3031', '3072', '3161', '3508']",Greatly increases Attack Damage,1300,910,Damage
1039,Hunter's Talisman,"['3706', '3715']",Provides damage against Monsters and Mana Regen in the Jungle,350,245,LifeSteal
1041,Hunter's Machete,"['3706', '3715']",Provides damage and life steal versus Monsters,350,245,LifeSteal
1042,Dagger,"['1043', '3091', '3006', '2015', '3085', '3086', '3046', '3101']",Slightly increases Attack Speed,300,210,AttackSpeed
1043,Recurve Bow,"['3091', '3153', '3124', '3675', '1416', '1419']",Greatly increases Attack Speed,400,700,AttackSpeed
1052,Amplifying Tome,"['3108', '3191', '3136', '3135', '3145', '3113', '3124', '3116', '3673', '3802', '3916']",Slightly increases Ability Power,435,305,SpellDamage
1053,Vampiric Scepter,"['3072', '3074', '3812', '3139', '3144', '3181']",Basic attacks restore Health,550,630,Damage
1054,Doran's Shield,,Good defensive starting item,450,180,Health
1055,Doran's Blade,,Good starting item for attackers,450,180,Damage
1056,Doran's Ring,,Good starting item for casters,400,160,Health
1057,Negatron Cloak,"['3091', '3193', '3001']",Moderately increases Magic Resist,270,504,SpellBlock
1058,Needlessly Large Rod,"['3089', '3907']",Greatly increases Ability Power,1250,875,SpellDamage
1082,Dark Seal,['3041'],Provides Ability Power and Mana.  Increases in power as you kill enemies.,350,140,HealthRegen
1083,Cull,,Provides damage and Life Steal on hit - Killing minions grant bonus Gold,450,180,Damage
1400,Enchantment: Warrior,,Grants Attack Damage and Cooldown Reduction,525,1838,
1401,Enchantment: Cinderhulk,,Grants Health and Immolate Aura,600,1750,
1402,Enchantment: Runic Echoes,,Grants Ability Power and periodically empowers your Spells,250,1750,
1412,Enchantment: Warrior,,Grants Attack Damage and Cooldown Reduction,525,1838,
1413,Enchantment: Cinderhulk,,Grants Health and Immolate Aura,600,1750,
1414,Enchantment: Runic Echoes,,Grants Ability Power and periodically empowers your Spells,250,1750,
1416,Enchantment: Bloodrazor,,Increases Attack Speed and deals damage based on the target's Health,625,1838,
1419,Enchantment: Bloodrazor,,Increases Attack Speed and deals damage based on the target's Health,625,1838,
2003,Health Potion,,Consume to restore Health over time,50,20,Consumable
2006,Showdown Health Potion,,Consume to restore Health over time,50,20,Consumable
2009,Total Biscuit of Rejuvenation,,,0,0,
2010,Total Biscuit of Everlasting Will,,,75,30,
2015,Kircheis Shard,"['3094', '3095', '3087']",Attack speed and a chargable magic hit,400,490,AttackSpeed
2031,Refillable Potion,['2033'],Restores Health over time. Refills at shop.,150,60,HealthRegen
2033,Corrupting Potion,,Restores Health and Mana over time and boosts combat power - Refills at Shop,350,200,Active
2047,Oracle's Extract,,Allows champion to see invisible or unseen enemy units,300,120,Consumable
2051,Guardian's Horn,,Good starting item for tanks,950,380,Health
2052,Poro-Snax,,,0,0,
2054,Diet Poro-Snax,,,0,0,
2055,Control Ward,,Used to disable wards and invisible traps in an area.,75,30,Consumable
2065,Shurelya's Reverie,,Activate to speed up nearby allies.,600,1435,Health
2138,Elixir of Iron,,Temporarily increases defenses. Leaves a trail for allies to follow.,500,200,Health
2139,Elixir of Sorcery,,Temporarily grants Ability Power and Bonus Damage to champions and turrets.,500,200,Consumable
2140,Elixir of Wrath,,Temporarily grants Attack Damage and heals you when dealing physical damage to champions.,500,200,Consumable
2403,Minion Dematerializer,,,0,0,
2419,Commencing Stopwatch,['2420'],,0,0,Active
2420,Stopwatch,"['3157', '3026', '3193']",Activate to become invincible but unable to take actions,650,260,Active
2421,Broken Stopwatch,"['3157', '3026', '3193']",Upgrades to stopwatch,650,260,
2422,Slightly Magical Boots,"['3006', '3047', '3020', '3158', '3111', '3117', '3009']",Slightly increases Movement Speed,300,210,Boots
2423,Perfectly Timed Stopwatch,"['3157', '3026', '3193']",Activate to become invincible but unable to take actions,650,260,Active
2424,Broken Stopwatch,"['3157', '3026', '3193']",,650,260,
3001,Abyssal Mask,['3379'],Nearby enemies take more magic damage,1180,2100,Health
3003,Archangel's Staff,,Increases Ability Power based on maximum Mana,1050,2240,SpellDamage
3004,Manamune,,Increases Attack Damage based on maximum Mana,675,1680,Damage
3006,Berserker's Greaves,,Enhances Movement Speed and Attack Speed,500,770,AttackSpeed
3007,Archangel's Staff (Quick Charge),,Increases Ability Power based on maximum Mana,1050,2240,SpellDamage
3008,Manamune (Quick Charge),,Increases Attack Damage based on maximum Mana,675,1680,Damage
3009,Boots of Swiftness,,Enhances Movement Speed and reduces the effect of slows,600,630,Boots
3010,Catalyst of Aeons,"['3027', '3029', '3001']",Spend Mana to recover Health,350,770,Health
3020,Sorcerer's Shoes,,Enhances Movement Speed and magic damage,800,770,Boots
3022,Frozen Mallet,,Basic attacks slow enemies,900,2170,Damage
3024,Glacial Shroud,"['3110', '3025', '3050', '3800']",Increases Armor and Cooldown Reduction,250,630,Armor
3025,Iceborn Gauntlet,['3387'],Basic attacks create a slow field after spell cast,750,1890,Armor
3026,Guardian Angel,,Periodically revives champion upon death,50,1120,Armor
